com.samsung.health.sleep_stage,1140029,6
end_time,custom,pkg_name,sleep_id,update_time,start_time,datauuid,time_offset,create_time,deviceuuid,stage
2020. 07. 09. 오전 12:37:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 12:34:00,5f8c0b1f-5753-f933-3ae8-3cff1909a23e,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 12:40:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 12:37:00,a6c88709-ede7-c359-90b4-d8d41ac7b074,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40003,
2020. 07. 09. 오전 1:23:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 12:40:00,a600efb5-eff7-569e-397e-9d10869090f8,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 1:30:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 1:23:00,5a48d898-33e0-a4b1-b481-6891db2f99a7,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40003,
2020. 07. 09. 오전 1:37:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 1:30:00,23223c0d-dee8-06b7-f24d-67d446de01a1,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 1:42:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 1:37:00,f89dbdce-071a-7101-f65a-c70db391d186,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40004,
2020. 07. 09. 오전 1:47:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 1:42:00,3cd0bfc7-afb2-0423-619a-3ce09902a58d,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 1:51:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 1:47:00,22db971a-26ea-3930-36f8-605f774ec438,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 1:52:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 1:51:00,f10a7fe4-3302-4188-b805-44446daeaf5a,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 2:30:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 1:52:00,ff1495b7-d157-5669-db81-1189b1fe8fb7,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 2:31:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:30:00,31482a3e-eb46-ac04-d138-e6d5acd96d11,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 2:34:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:31:00,26fe531e-3e7f-f397-f0aa-8f7f4c4af0af,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 2:36:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:34:00,7fcc7dbe-c0cf-d7ac-26f0-bf6dd5620fbf,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 2:43:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:36:00,cb8ede09-292a-7804-3527-d52bfcfa9154,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 2:44:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:43:00,c9ca1366-13e4-9eba-9ba9-ff796fc425c7,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 2:50:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:44:00,7537b3e4-5f48-18a1-da9c-0e56f81e0dc3,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40004,
2020. 07. 09. 오전 2:52:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:50:00,70316539-8ed7-c775-13e6-b7bd66c3bb5d,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 2:57:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:52:00,69b7bc94-bd96-25b3-1eb3-fe2247086376,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40004,
2020. 07. 09. 오전 2:58:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:57:00,c8b77f04-8cd3-863e-11e2-f033aa9fb68b,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 3:01:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 2:58:00,277ed972-db3c-c87f-3078-9f93501e0144,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 3:03:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:01:00,59c8fb10-17ba-d5f7-6644-e9eca3e2e379,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 3:09:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:03:00,8de8e8b0-649f-636f-73cf-4bd14d59467d,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40004,
2020. 07. 09. 오전 3:10:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:09:00,a6372750-d525-7dea-cae3-13ae2981d7cc,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 3:13:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:10:00,5bfe1d38-e125-1ce5-e62a-950c8dac2710,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 3:14:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:13:00,87ebd7f5-baf1-1f0e-ded7-751c8c1a9ee0,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 3:21:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:14:00,ebacbd7f-8e2b-cb08-38f0-9d9d24cc5866,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40004,
2020. 07. 09. 오전 3:22:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:21:00,fa41ad9e-5940-b616-06b3-b17bdaa4c6c3,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
2020. 07. 09. 오전 3:23:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:22:00,69104078-3435-a823-84c5-2e1699c18c98,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40002,
2020. 07. 09. 오전 3:24:00,,com.sec.android.app.shealth,7bb54ad5-534c-62ca-6760-6ac147db9428,2020. 07. 09. 오전 7:03:31,2020. 07. 09. 오전 3:23:00,7d07aaaf-60e4-408a-f38f-825e87a5d86a,32400000,2020. 07. 09. 오전 7:03:31,Eb+lTn/Fs+,40001,
