com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
0.024606,com.sec.android.app.shealth,1,,32400000,2020. 07. 07. 오후 11:02:00,0.355644,sb+tNhfKEH,,2020. 07. 07. 오후 11:03:00,15941305-0000-0000-0000-941305200000,0.450000,2020. 07. 07. 오후 11:02:11,2020. 07. 07. 오후 11:02:11,
0.681513,com.sec.android.app.shealth,8,,32400000,2020. 07. 07. 오후 11:16:00,0.205538,sb+tNhfKEH,,2020. 07. 07. 오후 11:17:00,15941313-0000-0000-0000-941313600000,3.840000,2020. 07. 07. 오후 11:16:48,2020. 07. 07. 오후 11:16:48,
0.277456,com.sec.android.app.shealth,8,,32400000,2020. 07. 07. 오후 11:18:00,0.559513,sb+tNhfKEH,,2020. 07. 07. 오후 11:19:00,15941314-0000-0000-0000-941314800000,5.600000,2020. 07. 07. 오후 11:18:49,2020. 07. 07. 오후 11:18:49,
0.437885,com.sec.android.app.shealth,12,,32400000,2020. 07. 07. 오후 11:19:00,0.630603,sb+tNhfKEH,,2020. 07. 07. 오후 11:20:00,15941315-0000-0000-0000-941315400000,8.400000,2020. 07. 07. 오후 11:19:19,2020. 07. 07. 오후 11:19:19,
0.600616,com.sec.android.app.shealth,8,,32400000,2020. 07. 07. 오후 11:21:00,0.346305,sb+tNhfKEH,,2020. 07. 07. 오후 11:22:00,15941316-0000-0000-0000-941316600000,6.000000,2020. 07. 07. 오후 11:21:25,2020. 07. 07. 오후 11:21:25,
0.672762,com.sec.android.app.shealth,20,,32400000,2020. 07. 07. 오후 11:22:00,0.898108,sb+tNhfKEH,,2020. 07. 07. 오후 11:23:00,15941317-0000-0000-0000-941317200000,14.920000,2020. 07. 07. 오후 11:22:31,2020. 07. 07. 오후 11:22:31,
0.222867,com.sec.android.app.shealth,16,,32400000,2020. 07. 07. 오후 11:23:00,1.257673,sb+tNhfKEH,,2020. 07. 07. 오후 11:24:00,15941317-0000-0000-0000-941317800000,10.870000,2020. 07. 07. 오후 11:23:55,2020. 07. 07. 오후 11:23:55,
0.159778,com.sec.android.app.shealth,5,,32400000,2020. 07. 07. 오후 11:24:00,0.386418,sb+tNhfKEH,,2020. 07. 07. 오후 11:25:00,15941318-0000-0000-0000-941318400000,2.640000,2020. 07. 07. 오후 11:24:42,2020. 07. 07. 오후 11:24:42,
0.605111,com.sec.android.app.shealth,22,,32400000,2020. 07. 07. 오후 11:26:00,0.926987,sb+tNhfKEH,,2020. 07. 07. 오후 11:27:00,15941319-0000-0000-0000-941319600000,15.100000,2020. 07. 07. 오후 11:26:47,2020. 07. 07. 오후 11:26:47,
0.378081,com.sec.android.app.shealth,14,,32400000,2020. 07. 07. 오후 11:27:00,0.812395,sb+tNhfKEH,,2020. 07. 07. 오후 11:28:00,15941320-0000-0000-0000-941320200000,10.160000,2020. 07. 07. 오후 11:27:33,2020. 07. 07. 오후 11:27:33,
0.541508,com.sec.android.app.shealth,16,,32400000,2020. 07. 07. 오후 11:28:00,0.804262,sb+tNhfKEH,,2020. 07. 07. 오후 11:29:00,15941320-0000-0000-0000-941320800000,12.161990,2020. 07. 07. 오후 11:28:24,2020. 07. 07. 오후 11:28:24,
0.638221,com.sec.android.app.shealth,44,,32400000,2020. 07. 07. 오후 11:29:00,1.826224,sb+tNhfKEH,,2020. 07. 07. 오후 11:30:00,15941321-0000-0000-0000-941321400000,29.615891,2020. 07. 07. 오후 11:30:01,2020. 07. 07. 오후 11:30:01,
0.928680,com.sec.android.app.shealth,93,,32400000,2020. 07. 07. 오후 11:30:00,2.948427,sb+tNhfKEH,,2020. 07. 07. 오후 11:31:00,15941322-0000-0000-0000-941322000000,55.896076,2020. 07. 07. 오후 11:31:03,2020. 07. 07. 오후 11:31:03,
0.939224,com.sec.android.app.shealth,78,,32400000,2020. 07. 07. 오후 11:31:00,2.672088,sb+tNhfKEH,,2020. 07. 07. 오후 11:32:00,15941322-0000-0000-0000-941322600000,50.825920,2020. 07. 07. 오후 11:31:56,2020. 07. 07. 오후 11:31:56,
1.532155,com.sec.android.app.shealth,76,,32400000,2020. 07. 07. 오후 11:33:00,2.612628,sb+tNhfKEH,,2020. 07. 07. 오후 11:34:00,15941323-0000-0000-0000-941323800000,59.547001,2020. 07. 07. 오후 11:34:02,2020. 07. 07. 오후 11:34:02,
1.186058,com.sec.android.app.shealth,88,,32400000,2020. 07. 07. 오후 11:34:00,3.047777,sb+tNhfKEH,,2020. 07. 07. 오후 11:35:00,15941324-0000-0000-0000-941324400000,63.315849,2020. 07. 07. 오후 11:34:55,2020. 07. 07. 오후 11:34:55,
1.217236,com.sec.android.app.shealth,10,,32400000,2020. 07. 07. 오후 11:35:00,0.292593,sb+tNhfKEH,,2020. 07. 07. 오후 11:36:00,15941325-0000-0000-0000-941325000000,7.200000,2020. 07. 07. 오후 11:35:44,2020. 07. 07. 오후 11:35:44,
0.183010,com.sec.android.app.shealth,15,,32400000,2020. 07. 07. 오후 11:39:00,0.971340,sb+tNhfKEH,,2020. 07. 07. 오후 11:40:00,15941327-0000-0000-0000-941327400000,7.190000,2020. 07. 07. 오후 11:39:47,2020. 07. 07. 오후 11:39:47,
