com.samsung.health.floors_climbed,1140029,5
end_time,floor,pkg_name,custom,update_time,start_time,datauuid,time_offset,create_time,deviceuuid
2020. 07. 13. 오후 8:13:03,3.000000,com.sec.android.app.shealth,,2020. 07. 13. 오후 8:19:44,2020. 07. 13. 오후 8:12:34,d0b3dc3d-64ba-51fb-e0d1-da2d56abdf7a,32400000,2020. 07. 13. 오후 8:19:44,Eb+lTn/Fs+,
2020. 07. 13. 오후 8:22:03,2.000000,com.sec.android.app.shealth,,2020. 07. 13. 오후 8:22:59,2020. 07. 13. 오후 8:21:45,edaf179e-f493-a74c-25b0-6902d3544b5f,32400000,2020. 07. 13. 오후 8:22:59,Eb+lTn/Fs+,
2020. 07. 14. 오전 8:14:22,3.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 8:14:32,2020. 07. 14. 오전 8:13:48,c6c987ed-6067-91e2-c06e-149851edabc0,32400000,2020. 07. 14. 오전 8:14:17,Eb+lTn/Fs+,
2020. 07. 14. 오전 8:37:06,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 8:38:47,2020. 07. 14. 오전 8:36:50,71f91c58-1c39-78e8-1790-e56d8d3587da,32400000,2020. 07. 14. 오전 8:38:47,Eb+lTn/Fs+,
2020. 07. 14. 오전 8:44:07,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 8:54:45,2020. 07. 14. 오전 8:44:00,b0ed7014-a9ac-d6aa-917a-110c66187195,32400000,2020. 07. 14. 오전 8:54:45,Eb+lTn/Fs+,
2020. 07. 14. 오전 8:52:21,2.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 8:54:45,2020. 07. 14. 오전 8:52:02,66cfe400-ab09-d093-7e89-c20689366083,32400000,2020. 07. 14. 오전 8:54:45,Eb+lTn/Fs+,
2020. 07. 14. 오전 8:54:24,3.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 8:54:45,2020. 07. 14. 오전 8:53:59,66548ba3-d548-a780-d60d-639837fd5a75,32400000,2020. 07. 14. 오전 8:54:45,Eb+lTn/Fs+,
2020. 07. 14. 오전 8:57:06,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 9:03:00,2020. 07. 14. 오전 8:56:57,502df2e7-7ab9-9b47-f452-c33f2ac842cc,32400000,2020. 07. 14. 오전 9:03:00,Eb+lTn/Fs+,
2020. 07. 14. 오전 9:05:35,4.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 9:07:30,2020. 07. 14. 오전 9:03:57,a472b516-c09e-40df-2c9d-1e86e045588d,32400000,2020. 07. 14. 오전 9:07:30,Eb+lTn/Fs+,
2020. 07. 14. 오전 9:11:02,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 9:12:43,2020. 07. 14. 오전 9:10:53,c305248e-8dc0-bc09-3bc4-d0bf17859b97,32400000,2020. 07. 14. 오전 9:12:43,Eb+lTn/Fs+,
2020. 07. 14. 오전 9:19:19,7.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 9:23:31,2020. 07. 14. 오전 9:16:24,e59c2f77-ea56-0ca5-e3b5-1fbb95021f3b,32400000,2020. 07. 14. 오전 9:16:47,Eb+lTn/Fs+,
2020. 07. 14. 오전 9:20:55,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 오전 9:23:31,2020. 07. 14. 오전 9:20:37,e787ce6f-0acf-e9ee-6ea0-403c7dcd6a0a,32400000,2020. 07. 14. 오전 9:23:31,Eb+lTn/Fs+,
2020. 07. 14. 오후 12:23:19,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 오후 12:25:01,2020. 07. 14. 오후 12:22:57,20dfd8a4-a578-4efc-6dc4-7a15489fbcb5,32400000,2020. 07. 14. 오후 12:25:01,Eb+lTn/Fs+,
2020. 07. 14. 오후 7:17:16,8.000000,com.sec.android.app.shealth,,2020. 07. 14. 오후 7:17:36,2020. 07. 14. 오후 7:14:51,a876aa31-13d7-4771-8c87-e07ef762a1e6,32400000,2020. 07. 14. 오후 7:15:29,Eb+lTn/Fs+,
2020. 07. 14. 오후 10:14:31,2.000000,com.sec.android.app.shealth,,2020. 07. 14. 오후 10:18:36,2020. 07. 14. 오후 10:13:51,b1950489-aaf0-4059-b9ea-c5bdf6abb76f,32400000,2020. 07. 14. 오후 10:18:36,Eb+lTn/Fs+,
2020. 07. 14. 오후 10:43:45,2.000000,com.sec.android.app.shealth,,2020. 07. 14. 오후 10:44:25,2020. 07. 14. 오후 10:43:16,418109b0-7b7c-5b89-f253-565305ade7d1,32400000,2020. 07. 14. 오후 10:44:25,Eb+lTn/Fs+,
2020. 07. 14. 오후 10:49:48,1.000000,com.sec.android.app.shealth,,2020. 07. 14. 오후 11:00:40,2020. 07. 14. 오후 10:49:29,942d6188-4e62-809c-6bf2-c94eb8158815,32400000,2020. 07. 14. 오후 11:00:40,Eb+lTn/Fs+,
2020. 07. 15. 오전 8:42:23,3.000000,com.sec.android.app.shealth,,2020. 07. 15. 오전 8:49:52,2020. 07. 15. 오전 8:40:57,0dcc4f73-9d5d-3f4d-1c6c-36bf555873f3,32400000,2020. 07. 15. 오전 8:41:18,Eb+lTn/Fs+,
2020. 07. 15. 오전 8:52:46,5.000000,com.sec.android.app.shealth,,2020. 07. 15. 오전 8:55:32,2020. 07. 15. 오전 8:50:43,071eba6b-ebc5-12c3-2cd3-c0e086696caa,32400000,2020. 07. 15. 오전 8:51:10,Eb+lTn/Fs+,
2020. 07. 15. 오전 8:54:26,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 오전 8:55:32,2020. 07. 15. 오전 8:53:55,5f5de20d-e3da-541b-a964-072e8d549bca,32400000,2020. 07. 15. 오전 8:55:32,Eb+lTn/Fs+,
2020. 07. 15. 오후 12:26:16,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 오후 12:31:18,2020. 07. 15. 오후 12:25:51,52d27678-7fad-0736-7ed6-37ea71bfb677,32400000,2020. 07. 15. 오후 12:31:18,Eb+lTn/Fs+,
2020. 07. 15. 오후 12:28:04,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 오후 12:31:18,2020. 07. 15. 오후 12:27:34,b70e751f-aca0-1c0a-9f78-ddf08e1712c6,32400000,2020. 07. 15. 오후 12:31:18,Eb+lTn/Fs+,
2020. 07. 15. 오후 6:38:43,1.000000,com.sec.android.app.shealth,,2020. 07. 15. 오후 6:40:08,2020. 07. 15. 오후 6:38:35,0451a203-8f5f-76b8-9575-9ec76246c2b6,32400000,2020. 07. 15. 오후 6:40:08,Eb+lTn/Fs+,
2020. 07. 17. 오전 7:39:40,3.000000,com.sec.android.app.shealth,,2020. 07. 17. 오전 7:39:52,2020. 07. 17. 오전 7:39:10,a6eb17e5-4a04-c934-58d1-c9b913d89a53,32400000,2020. 07. 17. 오전 7:39:52,Eb+lTn/Fs+,
2020. 07. 17. 오전 8:00:59,3.000000,com.sec.android.app.shealth,,2020. 07. 17. 오전 8:06:46,2020. 07. 17. 오전 7:59:46,c3f63bab-3721-5689-4bda-e3dd4b3d2f3c,32400000,2020. 07. 17. 오전 8:06:46,Eb+lTn/Fs+,
2020. 07. 17. 오전 8:03:38,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오전 8:06:46,2020. 07. 17. 오전 8:03:30,08551f0f-1db1-7bbf-8253-be1f0da4de7f,32400000,2020. 07. 17. 오전 8:06:46,Eb+lTn/Fs+,
2020. 07. 17. 오전 8:35:16,2.000000,com.sec.android.app.shealth,,2020. 07. 17. 오전 8:36:48,2020. 07. 17. 오전 8:34:56,2b9153e1-a683-0f86-d00b-23d27b0e36ef,32400000,2020. 07. 17. 오전 8:36:48,Eb+lTn/Fs+,
2020. 07. 17. 오전 8:36:32,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오전 8:36:48,2020. 07. 17. 오전 8:36:22,34eca6aa-b7a0-5fd7-1ff3-9c2e33d72a49,32400000,2020. 07. 17. 오전 8:36:48,Eb+lTn/Fs+,
2020. 07. 17. 오전 8:39:54,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오전 8:46:13,2020. 07. 17. 오전 8:39:20,e4adf3bd-e85b-0301-682e-45e224fede73,32400000,2020. 07. 17. 오전 8:46:13,Eb+lTn/Fs+,
2020. 07. 17. 오전 8:56:07,2.000000,com.sec.android.app.shealth,,2020. 07. 17. 오전 8:57:37,2020. 07. 17. 오전 8:55:19,0c7bd589-1bd4-6764-369b-5e4567e40ca8,32400000,2020. 07. 17. 오전 8:57:37,Eb+lTn/Fs+,
2020. 07. 17. 오전 8:57:42,1.000000,com.sec.android.app.shealth,,2020. 07. 17. 오전 8:58:05,2020. 07. 17. 오전 8:57:09,04774bad-fab6-a6df-9049-b3e17528d908,32400000,2020. 07. 17. 오전 8:57:37,Eb+lTn/Fs+,
