com.samsung.shealth.rewards,6105031,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
1,2019-10-01 12:03:00.230,UTC+0900,,2019-09-24 15:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,CHxXcBbd2u,2019-09-24 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:01.876,,474b78a5-03b3-490a-a73d-f0423ac6bffa,"{""mTarget"":6000,""mValue"":13973}",tracker.pedometer,,
1,2019-09-28 00:22:08.885,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-28 00:22:08.885,,e13b743b-724b-4bec-bf89-6a6b3dc73fca,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-28 08:38:27.073,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-28 08:38:27.073,,5d564fe1-886f-49c4-a8ce-be388fb570b5,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-10-01 12:03:00.232,UTC+0900,,2019-09-21 15:00:00.000,10009,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:00.232,,ea37f3f5-b551-421b-8fbf-459c6c1368f4,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 11:00:17.034,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 11:00:17.034,,ff194078-3ec7-498a-9451-2b0400c75ebf,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
1,2019-09-27 07:18:52.555,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 07:18:52.555,,3ebe5271-a561-4dd6-af33-2823f812d2f7,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-10-01 12:03:00.552,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-10-01 12:03:00.552,,fe811233-43be-4248-b6b5-68355f0865fa,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 04:32:54.485,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 04:32:54.485,,332b416f-ec59-49e0-805a-45d450015d07,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 04:16:28.990,UTC+0900,,2019-09-22 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-22 15:00:00.000,com.sec.android.app.shealth,2019-09-27 04:16:28.990,,24b2dda2-5bb9-4e53-8573-fc5d5e50308b,"{""mTarget"":-1,""mValue"":16578}",tracker.pedometer,,
1,2019-09-27 10:34:00.819,UTC+0900,,2019-09-21 15:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,CHxXcBbd2u,2019-09-21 15:00:00.000,com.sec.android.app.shealth,2019-09-27 10:34:00.819,,ab84db16-ad50-4b67-9248-2b64ddafdb7a,"{""mTarget"":-1,""mValue"":13881}",tracker.pedometer,,
