com.samsung.health.sleep_stage,6105031,6
start_time,pkg_name,update_time,create_time,stage,time_offset,datauuid,sleep_id,custom,end_time,deviceuuid
2020-07-12 09:16:00.000,com.sec.android.app.shealth,2020-07-12 09:19:00.000,2020-07-12 09:19:00.000,40001,UTC+0900,a7ebd6b1-7aa8-bf1d-038d-f912bf4f8074,c1342020-546f-7524-6996-60d5039c026a,,2020-07-12 09:19:00.000,xUcHHNl7co,
2020-07-13 18:13:00.000,com.sec.android.app.shealth,2020-07-13 18:17:00.000,2020-07-13 18:17:00.000,40002,UTC+0900,e7235891-5c27-c626-0534-6be32bf6b3b4,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 18:17:00.000,xUcHHNl7co,
2020-07-13 18:31:00.000,com.sec.android.app.shealth,2020-07-13 18:33:00.000,2020-07-13 18:33:00.000,40002,UTC+0900,0b0f5d9a-c129-93f7-b6e7-e4e8eeeca74a,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 18:33:00.000,xUcHHNl7co,
2020-07-12 17:40:00.000,com.sec.android.app.shealth,2020-07-12 17:43:00.000,2020-07-12 17:43:00.000,40001,UTC+0900,2cb682ef-eb9b-89a3-ee36-0d6cf5a72124,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 17:43:00.000,xUcHHNl7co,
2020-07-13 18:39:00.000,com.sec.android.app.shealth,2020-07-13 18:44:00.000,2020-07-13 18:44:00.000,40001,UTC+0900,6da6d1f6-6737-04d0-8bcd-5f06ced33713,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 18:44:00.000,xUcHHNl7co,
2020-07-13 18:44:00.000,com.sec.android.app.shealth,2020-07-13 18:50:00.000,2020-07-13 18:50:00.000,40002,UTC+0900,39cf34b9-0aa6-b71a-7ac8-a189ef7b7572,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 18:50:00.000,xUcHHNl7co,
2020-07-13 19:09:00.000,com.sec.android.app.shealth,2020-07-13 19:18:00.000,2020-07-13 19:18:00.000,40002,UTC+0900,13c1717b-b73a-96be-c533-682c93afd778,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:18:00.000,xUcHHNl7co,
2020-07-13 19:27:00.000,com.sec.android.app.shealth,2020-07-13 19:28:00.000,2020-07-13 19:28:00.000,40002,UTC+0900,256acc78-1169-fbb0-907e-49d9c69b630a,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:28:00.000,xUcHHNl7co,
2020-07-13 19:04:00.000,com.sec.android.app.shealth,2020-07-13 19:09:00.000,2020-07-13 19:09:00.000,40001,UTC+0900,27d84b2d-8071-4d0d-ced2-5fbdc553bb52,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:09:00.000,xUcHHNl7co,
2020-07-13 19:39:00.000,com.sec.android.app.shealth,2020-07-13 19:42:00.000,2020-07-13 19:42:00.000,40002,UTC+0900,f6a76111-3a23-8cb3-691b-d7f0ff1bb746,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:42:00.000,xUcHHNl7co,
2020-07-13 19:25:00.000,com.sec.android.app.shealth,2020-07-13 19:27:00.000,2020-07-13 19:27:00.000,40001,UTC+0900,32a33ca1-22d9-7a49-73ea-298118156999,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:27:00.000,xUcHHNl7co,
2020-07-13 19:38:00.000,com.sec.android.app.shealth,2020-07-13 19:39:00.000,2020-07-13 19:39:00.000,40001,UTC+0900,cbc69184-005b-26a6-f254-299cad447c06,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 19:39:00.000,xUcHHNl7co,
2020-07-13 20:00:00.000,com.sec.android.app.shealth,2020-07-13 20:06:00.000,2020-07-13 20:06:00.000,40002,UTC+0900,f1af9f0c-58f9-1fd4-8d8f-482bc2fe7250,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 20:06:00.000,xUcHHNl7co,
2020-07-13 19:58:00.000,com.sec.android.app.shealth,2020-07-13 20:00:00.000,2020-07-13 20:00:00.000,40001,UTC+0900,bf00aec3-70d8-5e47-b3e5-5e7e1f3b5124,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 20:00:00.000,xUcHHNl7co,
2020-07-13 20:30:00.000,com.sec.android.app.shealth,2020-07-13 20:33:00.000,2020-07-13 20:33:00.000,40001,UTC+0900,c3f89f88-5b87-b6d5-3bb9-59f3a08bbf78,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 20:33:00.000,xUcHHNl7co,
2020-07-13 21:41:00.000,com.sec.android.app.shealth,2020-07-13 21:42:00.000,2020-07-13 21:42:00.000,40001,UTC+0900,7e634d06-f859-b511-a78c-e8794193e63a,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 21:42:00.000,xUcHHNl7co,
2020-07-14 17:03:00.000,com.sec.android.app.shealth,2020-07-14 17:06:00.000,2020-07-14 17:06:00.000,40001,UTC+0900,28e9e6e0-b686-7df9-db40-30857ee32dbe,29757812-14c4-4358-cad1-d9cbcc6893af,,2020-07-14 17:06:00.000,xUcHHNl7co,
2020-07-13 20:28:00.000,com.sec.android.app.shealth,2020-07-13 20:30:00.000,2020-07-13 20:30:00.000,40002,UTC+0900,5acb8728-2c47-eb70-d990-77e82e15946f,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 20:30:00.000,xUcHHNl7co,
2020-07-12 18:15:00.000,com.sec.android.app.shealth,2020-07-12 18:16:00.000,2020-07-12 18:16:00.000,40001,UTC+0900,e61225b4-1b02-999a-d32a-6bc4b98f3657,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:16:00.000,xUcHHNl7co,
2020-07-14 17:21:00.000,com.sec.android.app.shealth,2020-07-14 17:22:00.000,2020-07-14 17:22:00.000,40001,UTC+0900,dd5bc622-69ae-0545-810f-4eec44742beb,29757812-14c4-4358-cad1-d9cbcc6893af,,2020-07-14 17:22:00.000,xUcHHNl7co,
2020-07-13 21:24:00.000,com.sec.android.app.shealth,2020-07-13 21:25:00.000,2020-07-13 21:25:00.000,40001,UTC+0900,87232a8f-d71b-7ac0-eaa9-7c2fe4a2e093,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 21:25:00.000,xUcHHNl7co,
2020-07-13 21:22:00.000,com.sec.android.app.shealth,2020-07-13 21:24:00.000,2020-07-13 21:24:00.000,40002,UTC+0900,ac3ab61c-43a2-1ff8-9029-62dbffba52e5,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 21:24:00.000,xUcHHNl7co,
2020-07-13 21:44:00.000,com.sec.android.app.shealth,2020-07-13 21:45:00.000,2020-07-13 21:45:00.000,40001,UTC+0900,9be4caf4-80d7-93ee-5dd8-520a4e09dfa8,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 21:45:00.000,xUcHHNl7co,
2020-07-13 21:42:00.000,com.sec.android.app.shealth,2020-07-13 21:44:00.000,2020-07-13 21:44:00.000,40002,UTC+0900,1cfd19ba-8e80-3eff-a57a-45e30444727b,23923548-7193-3aa0-15a9-37beb54cc8e2,,2020-07-13 21:44:00.000,xUcHHNl7co,
2020-07-14 17:08:00.000,com.sec.android.app.shealth,2020-07-14 17:09:00.000,2020-07-14 17:09:00.000,40001,UTC+0900,7aa47112-5de5-517c-ca46-590dad531ed7,29757812-14c4-4358-cad1-d9cbcc6893af,,2020-07-14 17:09:00.000,xUcHHNl7co,
2020-07-14 17:06:00.000,com.sec.android.app.shealth,2020-07-14 17:08:00.000,2020-07-14 17:08:00.000,40002,UTC+0900,bb9ab930-8d55-e265-1276-46ac7619c374,29757812-14c4-4358-cad1-d9cbcc6893af,,2020-07-14 17:08:00.000,xUcHHNl7co,
2020-07-14 17:32:00.000,com.sec.android.app.shealth,2020-07-14 17:37:00.000,2020-07-14 17:37:00.000,40001,UTC+0900,e693d631-89bc-f9b6-1b86-4e5b8e4b9b30,29757812-14c4-4358-cad1-d9cbcc6893af,,2020-07-14 17:37:00.000,xUcHHNl7co,
2020-07-14 17:48:00.000,com.sec.android.app.shealth,2020-07-14 17:49:00.000,2020-07-14 17:49:00.000,40001,UTC+0900,447c3483-779c-7d9e-5de7-f60f88cac209,29757812-14c4-4358-cad1-d9cbcc6893af,,2020-07-14 17:49:00.000,xUcHHNl7co,
2020-07-14 17:22:00.000,com.sec.android.app.shealth,2020-07-14 17:32:00.000,2020-07-14 17:32:00.000,40002,UTC+0900,f78724fd-3f08-0cba-cb23-27d09fcdcd30,29757812-14c4-4358-cad1-d9cbcc6893af,,2020-07-14 17:32:00.000,xUcHHNl7co,
2020-07-14 18:02:00.000,com.sec.android.app.shealth,2020-07-14 18:10:00.000,2020-07-14 18:10:00.000,40002,UTC+0900,7b9a946d-7860-982a-1f86-563b98bc428a,29757812-14c4-4358-cad1-d9cbcc6893af,,2020-07-14 18:10:00.000,xUcHHNl7co,
2020-07-12 18:25:00.000,com.sec.android.app.shealth,2020-07-12 18:26:00.000,2020-07-12 18:26:00.000,40001,UTC+0900,2b2e2340-2f86-5aa5-9577-7e353a0a58a6,8cdf53ac-8c48-1cdf-0eee-876a3eff1847,,2020-07-12 18:26:00.000,xUcHHNl7co,
