com.samsung.shealth.tracker.heart_rate,6105031,3
tag_id,source,com.samsung.health.heart_rate.create_time,com.samsung.health.heart_rate.time_offset,com.samsung.health.heart_rate.max,com.samsung.health.heart_rate.heart_beat_count,com.samsung.health.heart_rate.custom,com.samsung.health.heart_rate.end_time,com.samsung.health.heart_rate.heart_rate,com.samsung.health.heart_rate.deviceuuid,com.samsung.health.heart_rate.start_time,com.samsung.health.heart_rate.pkg_name,com.samsung.health.heart_rate.update_time,com.samsung.health.heart_rate.min,com.samsung.health.heart_rate.binning_data,com.samsung.health.heart_rate.datauuid,com.samsung.health.heart_rate.comment
21301,,1594542003000,UTC+0900,72.0,1,,1594542003000,72.0,xUcHHNl7co,1594542003000,com.sec.android.app.shealth,1594542003000,72.0,,21e39e50-ec71-92b3-0fb6-6c0dfd59db9c,,
20000,60009,1594103840073,UTC+0900,70.0,0,,1594102178609,70.0,CHxXcBbd2u,1594102178609,com.sec.android.app.shealth,1594103840073,70.0,,57b6d1d3-20c4-4906-b86f-b46c441caf98,,
21313,,1594655999000,UTC+0900,93.0,1,,1594655999000,63.0,xUcHHNl7co,1594652400000,com.sec.android.app.shealth,1594655999000,38.0,e5ddcd08-9914-2bf1-356a-6e0ccb7ef3dc.com.samsung.health.heart_rate.binning_data.json,e5ddcd08-9914-2bf1-356a-6e0ccb7ef3dc,,
21313,,1594550400000,UTC+0900,97.0,1,,1594551599000,70.0,xUcHHNl7co,1594548000000,com.sec.android.app.shealth,1594551599000,60.0,62e906ae-275f-b9e0-d996-338451e8f5ed.com.samsung.health.heart_rate.binning_data.json,62e906ae-275f-b9e0-d996-338451e8f5ed,,
21301,,1594267296000,UTC+0900,89.0,1,,1594267296000,89.0,xUcHHNl7co,1594267296000,com.sec.android.app.shealth,1594267296000,89.0,,c8df6b59-0979-1316-0449-cbe77d477852,,
21301,,1594660307000,UTC+0900,57.0,1,,1594660307000,57.0,xUcHHNl7co,1594660307000,com.sec.android.app.shealth,1594660307000,57.0,,bf1a39bf-5952-82cd-8e4e-51bdb64612f2,,
21301,,1594553854000,UTC+0900,68.0,1,,1594553854000,68.0,xUcHHNl7co,1594553854000,com.sec.android.app.shealth,1594553854000,68.0,,cef9dfa6-9ab1-5f81-64a9-bea6a755d887,,
21301,,1594273931000,UTC+0900,87.0,1,,1594273931000,87.0,xUcHHNl7co,1594273931000,com.sec.android.app.shealth,1594273931000,87.0,,a4122909-378b-24f3-bcf4-cf0b660132e4,,
21313,,1594676220000,UTC+0900,92.0,1,,1594677599000,59.0,xUcHHNl7co,1594674000000,com.sec.android.app.shealth,1594677599000,45.0,074251ca-bd8e-9e6e-288a-82ff30d6ac67.com.samsung.health.heart_rate.binning_data.json,074251ca-bd8e-9e6e-288a-82ff30d6ac67,,
21301,,1594556938000,UTC+0900,69.0,1,,1594556938000,69.0,xUcHHNl7co,1594556938000,com.sec.android.app.shealth,1594556938000,69.0,,91031a3d-2f77-95d9-0ea4-535ab21bfe8d,,
21301,,1594688753000,UTC+0900,74.0,1,,1594688753000,74.0,xUcHHNl7co,1594688753000,com.sec.android.app.shealth,1594688753000,74.0,,6cad4717-996c-3e32-5b06-fd662d5e1f92,,
