com.samsung.shealth.activity.day_summary,6105031,1
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,33840000,2019-10-26 15:00:00.718,12176.403,14975,15573,8593107,1572134400000,CHxXcBbd2u,8608082,238,com.sec.android.app.shealth,2019-10-27 15:00:02.998,1991911,0dc891bd-f035-42c5-8c87-c8bcc9b94f71,0dc891bd-f035-42c5-8c87-c8bcc9b94f71.extra_data.json,518.4874,
0,60,21000000,2019-11-01 15:00:00.700,14692.401,37236,19023,10879676,1572652800000,CHxXcBbd2u,10916912,301,com.sec.android.app.shealth,2019-11-02 14:55:37.340,700191,74137b13-6aaf-41b5-84b4-981eee3ba2ac,74137b13-6aaf-41b5-84b4-981eee3ba2ac.extra_data.json,649.42865,
0,60,35940000,2019-10-05 15:00:00.748,6644.214,14786,8611,4935978,1570320000000,CHxXcBbd2u,4950764,136,com.sec.android.app.shealth,2019-10-06 09:15:01.663,1305656,d361006c-3ee9-4730-8c8e-5d3fd9b8a3b0,d361006c-3ee9-4730-8c8e-5d3fd9b8a3b0.extra_data.json,293.47296,
0,-1,-1,2019-09-21 09:39:53.895,0.0,0,0,0,1568332800000,CHxXcBbd2u,0,0,com.sec.android.app.shealth,2019-09-21 09:39:53.895,0,6310ba02-3f2c-4cfb-a76e-bffc241455fb,6310ba02-3f2c-4cfb-a76e-bffc241455fb.extra_data.json,0.0,
0,60,25980000,2019-10-11 15:00:00.483,10353.533,85277,13263,7640083,1570838400000,CHxXcBbd2u,7725360,213,com.sec.android.app.shealth,2019-10-12 13:33:27.850,883586,bd6892a0-eb18-49b3-8515-c4722a9e2e0d,bd6892a0-eb18-49b3-8515-c4722a9e2e0d.extra_data.json,457.5099,
0,60,31560000,2019-10-17 15:00:00.810,7989.4424,8400,10868,5814354,1571356800000,CHxXcBbd2u,5822754,160,com.sec.android.app.shealth,2019-10-18 09:22:37.515,1035306,0c690242-9778-4ffc-b0be-351c9ea6c84c,0c690242-9778-4ffc-b0be-351c9ea6c84c.extra_data.json,398.51605,
0,60,25740000,2019-10-23 15:00:01.482,9523.672,2622,13317,7277100,1571875200000,CHxXcBbd2u,7279722,201,com.sec.android.app.shealth,2019-10-24 15:00:00.742,1303124,c4710c7c-6c67-4a14-a4d7-29dec23b8abe,c4710c7c-6c67-4a14-a4d7-29dec23b8abe.extra_data.json,519.45435,
0,60,39960000,2019-10-29 15:00:00.614,7823.195,8105,10609,5740717,1572393600000,CHxXcBbd2u,5748822,158,com.sec.android.app.shealth,2019-10-30 15:00:01.120,1087766,13808a2d-770b-4f53-b8ac-407c45aac583,13808a2d-770b-4f53-b8ac-407c45aac583.extra_data.json,397.6986,
0,60,47760000,2019-11-04 15:00:01.249,4506.7676,0,6178,3330025,1572912000000,CHxXcBbd2u,3330025,91,com.sec.android.app.shealth,2019-11-05 12:08:33.847,1110323,77b070b1-41ac-4dc7-8ca2-d700e65c61d9,77b070b1-41ac-4dc7-8ca2-d700e65c61d9.extra_data.json,219.16263,
0,60,29940000,2019-11-10 15:37:28.948,10448.927,3487,14642,7643749,1573430400000,CHxXcBbd2u,7647236,211,com.sec.android.app.shealth,2019-11-11 13:10:41.778,1323222,bc584597-fb2a-443e-bcf2-34f4c8a68f75,bc584597-fb2a-443e-bcf2-34f4c8a68f75.extra_data.json,528.86127,
