com.samsung.shealth.tracker.pedometer_step_count,6105031,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
36118,0,4,76,1592383171915,60.590004,UTC+0900,,76,1592383200000,1.6775341,CHxXcBbd2u,1592383140000,com.sec.android.app.shealth,1592383223907,25ca1c83-362d-47f1-82b4-dcd3caf14a35,2.4299998,,
49301,0,4,40,1592383463094,59.229996,UTC+0900,,95,1592383500000,1.2013777,CHxXcBbd2u,1592383440000,com.sec.android.app.shealth,1592383812089,c4b168ff-8f73-4dd5-9cad-44031fef7a7e,4.9699993,,
60000,0,4,111,1592383812110,83.14,UTC+0900,,110,1592383560000,1.3856666,CHxXcBbd2u,1592383500000,com.sec.android.app.shealth,1592383812110,6a0b4a5c-2c79-4a9c-9764-b387ca093c04,4.15,,
23815,0,4,47,1592383820091,36.570004,UTC+0900,,47,1592383860000,1.5355427,CHxXcBbd2u,1592383800000,com.sec.android.app.shealth,1592383842293,474c5a64-ea5a-47e3-b080-9736ed9a46d2,1.4599998,,
35751,0,4,72,1592384750933,57.6,UTC+0900,,72,1592384760000,1.6111112,CHxXcBbd2u,1592384700000,com.sec.android.app.shealth,1592384750933,3c85e0e3-4d26-4e2e-a20c-70b9a3ecf1c0,2.21,,
20456,0,4,41,1592384106868,32.39,UTC+0900,,41,1592384040000,1.5833334,CHxXcBbd2u,1592383980000,com.sec.android.app.shealth,1592384106868,5e41b6f6-3674-4380-ac41-afc9e2ffa25b,1.29,,
39369,0,4,50,1592383223926,50.21,UTC+0900,,71,1592383260000,1.2753614,CHxXcBbd2u,1592383200000,com.sec.android.app.shealth,1592383462963,81f9ebf2-91d7-41c9-8e54-689572dd538b,2.9299998,,
32220,0,4,67,1592390947281,52.45001,UTC+0900,,67,1592391000000,1.6278616,CHxXcBbd2u,1592390940000,com.sec.android.app.shealth,1592391046959,647bc904-8d00-4e9a-8f82-ff13f6c4df2b,2.1199996,,
5719,0,4,10,1592383070274,7.6899996,UTC+0900,,10,1592383080000,1.3445848,CHxXcBbd2u,1592383020000,com.sec.android.app.shealth,1592383072239,4a5c73f9-269f-4ede-9b6d-1ae69b59fabd,0.35,,
47109,0,4,69,1592383812129,65.43,UTC+0900,,96,1592383620000,1.3888888,CHxXcBbd2u,1592383560000,com.sec.android.app.shealth,1592383812129,26782c5e-ce22-4df8-b1de-8bb85a30426f,4.36,,
4388,0,4,8,1592384611745,6.1200004,UTC+0900,,8,1592384640000,1.3944741,CHxXcBbd2u,1592384580000,com.sec.android.app.shealth,1592384613515,2132c27b-cf1f-40df-8808-5675b918aa6b,0.29,,
9729,5,4,15,1592384604908,20.81,UTC+0900,,20,1592384160000,2.1388888,CHxXcBbd2u,1592384100000,com.sec.android.app.shealth,1592384604908,cb07653a-daec-4667-b9b7-db1126673757,1.26,,
46478,0,4,73,1592391131888,71.150024,UTC+0900,,103,1592391180000,1.530806,CHxXcBbd2u,1592391120000,com.sec.android.app.shealth,1592391184903,e17e030a-f343-4c12-8a57-6b641359caa7,3.3399987,,
35197,8,4,67,1592391046990,64.09999,UTC+0900,,75,1592391060000,1.8211368,CHxXcBbd2u,1592391000000,com.sec.android.app.shealth,1592391059714,c7d8b214-5347-460f-8a38-1dc8d894988c,3.0599997,,
31370,0,4,10,1592391591963,49.67,UTC+0900,,111,1592391540000,1.5833334,CHxXcBbd2u,1592391480000,com.sec.android.app.shealth,1592391591963,5be60e07-257a-457c-8ec8-8182c2276992,3.33,,
53641,0,4,81,1592391364415,80.39,UTC+0900,,113,1592391420000,1.4986458,CHxXcBbd2u,1592391360000,com.sec.android.app.shealth,1592391591908,e5df22bb-7c9c-4f66-afb6-c0acab1a52f0,3.64,,
6985,0,4,13,1592383812156,10.09,UTC+0900,,13,1592383680000,1.4444444,CHxXcBbd2u,1592383620000,com.sec.android.app.shealth,1592383812156,f0e77ffd-3628-460b-9377-c4fa452b3037,0.43,,
58552,0,4,114,1592391840377,88.599945,UTC+0900,,114,1592391900000,1.5131832,CHxXcBbd2u,1592391840000,com.sec.android.app.shealth,1592391899905,9e2e3968-7db2-4636-9731-4f206d71f4f0,3.4999974,,
46945,0,4,55,1592391252563,74.090004,UTC+0900,,116,1592391300000,1.5782171,CHxXcBbd2u,1592391240000,com.sec.android.app.shealth,1592391302826,7d4aca4d-a4b8-4f6a-ae0e-6067674b5a0e,3.6899996,,
