com.samsung.shealth.tracker.pedometer_day_summary,6105031,5
create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2019-11-14 15:00:58.970,13891.851,7316fe39-6fbb-4b69-8ad0-58cd1a9f2746.achievement.json,18984,6000,1573689600000,3.4240017,CHxXcBbd2u,8508579,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-14 15:00:58.970,18615,7316fe39-6fbb-4b69-8ad0-58cd1a9f2746.binning_data.json,7316fe39-6fbb-4b69-8ad0-58cd1a9f2746,693.7299,369,,12655,
2019-09-21 22:26:00.754,10362.47,223697b6-8166-4b86-87b9-c12c53d73936.achievement.json,13881,6000,1569110400000,3.6007607,CHxXcBbd2u,6457126,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-22 11:51:24.945,13685,223697b6-8166-4b86-87b9-c12c53d73936.binning_data.json,223697b6-8166-4b86-87b9-c12c53d73936,487.76993,196,,7981,
2019-11-17 15:15:25.113,9213.39,a0b875b6-32d4-4b53-96ac-f34941d333e0.achievement.json,11775,6000,1573948800000,3.7144337,CHxXcBbd2u,5676502,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-17 15:15:25.113,11509,a0b875b6-32d4-4b53-96ac-f34941d333e0.binning_data.json,a0b875b6-32d4-4b53-96ac-f34941d333e0,408.00995,266,,4997,
2019-10-27 00:24:10.954,12104.2,f4c597e5-c1ec-4d20-98c9-87ed26f37aad.achievement.json,15573,6000,1572134400000,1.6472131,VfS0qUERdZ,7348290,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-27 15:00:05.567,15402,f4c597e5-c1ec-4d20-98c9-87ed26f37aad.binning_data.json,f4c597e5-c1ec-4d20-98c9-87ed26f37aad,515.37994,171,f4c597e5-c1ec-4d20-98c9-87ed26f37aad.source_info.json,0,
2019-11-20 15:00:15.672,5159.84,625dc385-11b5-4a48-b896-1f900e8f2fbd.achievement.json,6445,6000,1574208000000,3.6944442,CHxXcBbd2u,3049298,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-20 15:00:15.672,6000,625dc385-11b5-4a48-b896-1f900e8f2fbd.binning_data.json,625dc385-11b5-4a48-b896-1f900e8f2fbd,250.07997,445,,0,
2019-10-07 01:05:52.049,10056.56,d02f008c-a652-4f39-a59c-1e4d804df0a2.achievement.json,14136,6000,1570406400000,1.5970753,VfS0qUERdZ,6296859,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-07 13:13:29.962,14063,d02f008c-a652-4f39-a59c-1e4d804df0a2.binning_data.json,d02f008c-a652-4f39-a59c-1e4d804df0a2,512.42,73,d02f008c-a652-4f39-a59c-1e4d804df0a2.source_info.json,0,
2019-10-30 02:12:00.617,7703.0103,5d9f2d38-e50f-48a0-9775-0ac66ce17d61.achievement.json,10609,6000,1572393600000,1.6443326,VfS0qUERdZ,4684581,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-30 14:57:25.427,10464,5d9f2d38-e50f-48a0-9775-0ac66ce17d61.binning_data.json,5d9f2d38-e50f-48a0-9775-0ac66ce17d61,391.15997,145,5d9f2d38-e50f-48a0-9775-0ac66ce17d61.source_info.json,0,
2019-10-10 01:02:38.219,5732.48,73fcf041-5f7b-4af4-8886-635cff28c756.achievement.json,8327,6000,1570665600000,1.6688583,VfS0qUERdZ,3434971,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-10 14:25:44.900,8226,73fcf041-5f7b-4af4-8886-635cff28c756.binning_data.json,73fcf041-5f7b-4af4-8886-635cff28c756,316.44998,101,73fcf041-5f7b-4af4-8886-635cff28c756.source_info.json,0,
2019-09-24 16:56:49.320,10266.221,06922b23-fdee-40f6-8128-100a00bd303e.achievement.json,13973,6000,1569369600000,3.3799975,CHxXcBbd2u,6274082,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-25 13:34:00.945,13837,06922b23-fdee-40f6-8128-100a00bd303e.binning_data.json,06922b23-fdee-40f6-8128-100a00bd303e,507.06998,136,,7334,
2019-11-01 15:47:28.938,14673.431,0a55f6c1-4c47-40a5-aa07-080da1a812df.achievement.json,19023,6000,1572652800000,1.5616832,VfS0qUERdZ,9395907,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-02 14:48:33.053,18915,0a55f6c1-4c47-40a5-aa07-080da1a812df.binning_data.json,0a55f6c1-4c47-40a5-aa07-080da1a812df,648.51996,108,0a55f6c1-4c47-40a5-aa07-080da1a812df.source_info.json,0,
2019-09-22 15:50:08.333,12258.801,826bfa09-7ad3-4ebd-b0fe-2ff0b1edc81f.achievement.json,16578,6000,1569196800000,1.695999,VfS0qUERdZ,7228070,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-23 13:11:55.168,16048,826bfa09-7ad3-4ebd-b0fe-2ff0b1edc81f.binning_data.json,826bfa09-7ad3-4ebd-b0fe-2ff0b1edc81f,614.30994,530,826bfa09-7ad3-4ebd-b0fe-2ff0b1edc81f.source_info.json,0,
2019-09-28 01:13:00.832,16542.07,4c4bd400-afa2-4676-ad20-0bdb3263a82c.achievement.json,21265,6000,1569628800000,4.833334,CHxXcBbd2u,10583462,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-09-28 14:32:36.867,21059,4c4bd400-afa2-4676-ad20-0bdb3263a82c.binning_data.json,4c4bd400-afa2-4676-ad20-0bdb3263a82c,727.5999,206,,5087,
2019-11-05 04:35:03.857,4444.95,07550d79-8e7b-4cbc-9179-97d3cd9ff966.achievement.json,6178,6000,1572912000000,1.6251831,VfS0qUERdZ,2735045,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-05 12:08:34.314,6156,07550d79-8e7b-4cbc-9179-97d3cd9ff966.binning_data.json,07550d79-8e7b-4cbc-9179-97d3cd9ff966,216.70999,22,07550d79-8e7b-4cbc-9179-97d3cd9ff966.source_info.json,0,
2019-10-01 12:03:02.611,7487.5303,1a0d2067-faf0-4f74-a1c6-a77493f59a5f.achievement.json,9863,6000,1569888000000,2.4824712,CHxXcBbd2u,4450496,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-10-01 15:00:00.784,9735,1a0d2067-faf0-4f74-a1c6-a77493f59a5f.binning_data.json,1a0d2067-faf0-4f74-a1c6-a77493f59a5f,347.68997,128,,5147,
