제품명,최저가,사이트주소,제조회사,등록년월,분류,운영체제,인프라,블루투스버전,안드로이드OS,iOS,모양,패널종류,화면크기,해상도,모바일AP,코어갯수,시스템램,내장메모리,WiFi,GPS,NFC,심박센서,가속도센서,만보기센서,자이로센서,기압센서,자외선센서,3D터치센서,나침반센서,조도센서,모션센서,걷기,달리기,자전거타기,일립티컬,로잉머신,등산,승마,수영,스키,골프,요가,보행수,이동거리,칼로리,활동시간,수면정보,심박측정,심전도,운동량,체온,고도,페이스,속도,날씨,체지방,혈압체크,여성 건강 모니터링,진동,메세지알림,SNS알림,전화알림,통화가능,음악콘트롤,스피커,마이크,카메라촬영,분실방지,생활방수,전자결제,알람시계,전용앱지원,배터리용량,사용시간,무게(본체),방수/방진,시계줄넓이,형태,적합성평가인증,안전확인인증
옴니씨앤에스 옴니핏 링,237600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=4871196&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1640056372&package=0&setpc=0,옴니씨앤에스,201702,스마트반지,기타OS,블루투스,,안드로이드OS,iOS,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,30mAh,,13g,,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Garmin 비보핏4 피트니스 밴드,149600,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6194463&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=2237422978&package=0&setpc=0,Garmin,201806,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,"1.09cm(0.43"")",88x88,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,○,,,,,○,,,,,,,,,,,,,,,,,○,,,25~25.5g,5ATM,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Garmin 비보핏 주니어,117800,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=5207139&cmpnyc=TH201&safe_trade=4&fee_type=T&link_pcode=1766481486&package=0&setpc=0,Garmin,201706,스마트밴드,,,,안드로이드OS,iOS,사각형,,,64x64,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,,○,,,○,,,,,,,,,,,,,,,,,,,,,,○,,,17.5g,5ATM,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
레노버 HW01,일시 품절,,레노버,201707,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.32cm(0.91"")",128x32,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,○,○,,○,,,,,,,,,○,,○,,,○,,,,○,○,,,,85mAh,평균사용:7일,,IP65,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Microsoft BAND,277970,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3625858&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B259157334&package=0&setpc=0,Microsoft,201512,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,TFT,,,,,,저장 : 64MB,,○,,,○,,○,,○,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,○,○,○,○,○,,,,○,,○,,,,,○,,,○,,,,,평균사용:2일,60g,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
화웨이 B29,125460,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=6258852&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B547440728&package=0&setpc=0,화웨이,201806,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,LED,"2.32cm(0.91"")",128x32,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,○,,,,,,,,,,○,○,100mAh,평균사용:21일,21g,5ATM,,,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
SONY 스마트밴드2 SWR12,145000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3953157&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=B327490602&package=0&setpc=0,SONY,201510,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,,○,○,○,,,,,○,,○,,,○,,,,○,,,,,58mAh,,25g,IP68,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
미오 퓨즈,187460,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3715600&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3908331533&package=0&setpc=0,미오,201601,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,LED,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,○,○,,○,○,○,,○,,,○,○,,,,,○,,○,,,,,,,○,,,,○,,평균사용:6~7일,,3ATM,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
Microsoft BAND 2,449100,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3625724&cmpnyc=EE128&safe_trade=4&fee_type=T&link_pcode=952621128&package=0&setpc=0,Microsoft,201512,스마트밴드,,,,안드로이드OS,iOS,,,,,,,,,,○,,,○,,○,○,○,,,,,,,,,,,,,,,,○,○,○,○,○,○,,○,○,○,○,○,○,,,,○,,○,,,,,○,,,○,,,,,평균사용:2일,,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
화웨이 토크밴드 B1,178760,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=2988949&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=3387076505&package=0&setpc=0,화웨이,201502,스마트워치,,블루투스,,안드로이드OS,iOS,사각형,OLED,"3.6cm(1.4"")",,,,,,,,○,,,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,,,,,,,,,,,,,○,,○,,,○,,○,,,○,,,,,평균사용:7일,9.4g,,전용시계줄,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
LG전자 라이프 밴드 터치,169000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=2409557&cmpnyc=EE715&safe_trade=4&fee_type=T&link_pcode=A943286017&package=0&setpc=0,LG전자,201401,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,OLED,"2.32cm(0.91"")",128x32,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,,,,○,,,,,,,,,,,○,,,○,,,,,○,,,,,,,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
직토 워크,129000,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=3463305&cmpnyc=ED908&safe_trade=4&fee_type=T&link_pcode=23473396&package=0&setpc=0,직토,201510,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,사각형,LED,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,○,○,○,○,○,,,○,,,,,,,,,○,,○,,,,,,,,○,,,○,50mAh,평균사용:3~5일,,,,밴드분리형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
조본 UP24,161680,http://prod.danawa.com/bridge/loadingBridge.html?cate1=224&cate2=58304&cate3=58306&cate4=0&pcode=2650333&cmpnyc=ED910&safe_trade=4&fee_type=T&link_pcode=2962118569&package=0&setpc=0,조본,201405,스마트밴드,기타OS,블루투스,,안드로이드OS,iOS,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,○,,,,,,,,,,,,,,,,,,,○,,,,32mAh,평균사용:약 7일,19~23g,,,밴드일체형,상세설명 / 판매 사이트 문의 인증번호 확인,상세설명 / 판매 사이트 문의 인증번호 확인
