com.samsung.health.step_count,1140029,6
speed,pkg_name,count,sample_position_type,time_offset,start_time,calorie,deviceuuid,custom,end_time,datauuid,distance,create_time,update_time
1.394320,com.sec.android.app.shealth,112,,32400000,2020. 07. 06. 12:21:00,5.102349,sZOKHxE5f1,,2020. 07. 06. 12:22:00,15940056-0000-0000-F100-940056600000,83.905113,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.124898,com.sec.android.app.shealth,91,,32400000,2020. 07. 06. 12:22:00,4.333785,sZOKHxE5f1,,2020. 07. 06. 12:23:00,15940057-0000-0000-F100-940057200000,67.371758,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.947338,com.sec.android.app.shealth,65,,32400000,2020. 07. 06. 12:23:00,2.961850,sZOKHxE5f1,,2020. 07. 06. 12:24:00,15940057-0000-0000-F100-940057800000,43.070923,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.099302,com.sec.android.app.shealth,51,,32400000,2020. 07. 06. 12:24:00,2.387661,sZOKHxE5f1,,2020. 07. 06. 12:25:00,15940058-0000-0000-F100-940058400000,36.551781,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.545394,com.sec.android.app.shealth,15,,32400000,2020. 07. 06. 12:27:00,0.873635,sZOKHxE5f1,,2020. 07. 06. 12:28:00,15940060-0000-0000-F100-940060200000,9.949171,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.578915,com.sec.android.app.shealth,27,,32400000,2020. 07. 06. 12:28:00,1.349371,sZOKHxE5f1,,2020. 07. 06. 12:29:00,15940060-0000-0000-F100-940060800000,16.028702,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.274001,com.sec.android.app.shealth,18,,32400000,2020. 07. 06. 12:29:00,0.718789,sZOKHxE5f1,,2020. 07. 06. 12:30:00,15940061-0000-0000-F100-940061400000,12.252306,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
0.521587,com.sec.android.app.shealth,28,,32400000,2020. 07. 06. 12:34:00,1.947976,sZOKHxE5f1,,2020. 07. 06. 12:35:00,15940064-0000-0000-F100-940064400000,21.446199,2020. 07. 06. 12:37:46,2020. 07. 06. 12:37:46,
1.473151,com.sec.android.app.shealth,73,230002,32400000,2020. 07. 06. 11:58:00,3.540000,ITeeWLY/e8,,2020. 07. 06. 11:58:59,dc176633-deaa-71cd-a8c4-19404891cfaa,57.310000,2020. 07. 06. 11:58:09,2020. 07. 06. 12:02:55,
1.611111,com.sec.android.app.shealth,37,230002,32400000,2020. 07. 06. 11:59:00,1.810000,ITeeWLY/e8,,2020. 07. 06. 11:59:59,06bc4e9b-9154-6cbf-3d30-3a48b267320c,29.790000,2020. 07. 06. 12:02:55,2020. 07. 06. 12:02:55,
1.416667,com.sec.android.app.shealth,42,230002,32400000,2020. 07. 06. 12:00:00,2.070000,ITeeWLY/e8,,2020. 07. 06. 12:00:59,244eb156-b382-3597-ed4b-c66cfa82bad1,32.340000,2020. 07. 06. 12:02:55,2020. 07. 06. 12:02:55,
1.444444,com.sec.android.app.shealth,106,230002,32400000,2020. 07. 06. 12:01:00,5.150000,ITeeWLY/e8,,2020. 07. 06. 12:01:59,a7eec75e-9cb4-13d0-e17f-9c11a7e492c3,74.990000,2020. 07. 06. 12:02:55,2020. 07. 06. 12:02:55,
1.426679,com.sec.android.app.shealth,108,230002,32400000,2020. 07. 06. 12:02:00,5.310000,ITeeWLY/e8,,2020. 07. 06. 12:02:59,7e6a30fd-498e-9fc8-f4f6-fc22d0ab7795,84.670000,2020. 07. 06. 12:02:55,2020. 07. 06. 12:08:16,
1.555556,com.sec.android.app.shealth,118,230002,32400000,2020. 07. 06. 12:03:00,5.900000,ITeeWLY/e8,,2020. 07. 06. 12:03:59,aa74df83-8644-e181-e4dc-880aa2dc4de3,92.630000,2020. 07. 06. 12:08:16,2020. 07. 06. 12:08:16,
1.451667,com.sec.android.app.shealth,111,230002,32400000,2020. 07. 06. 12:04:00,5.260000,ITeeWLY/e8,,2020. 07. 06. 12:04:59,5e0b9f72-35a2-f27f-c7b1-a11956500ac8,87.100000,2020. 07. 06. 12:08:16,2020. 07. 06. 12:08:16,
