com.samsung.shealth.stress,1140029,7
update_time,pkg_name,time_offset,binning_data,max,start_time,comment,tag_id,deviceuuid,custom,end_time,datauuid,create_time,score,algorithm,min
2020. 07. 11. 14:06:25,com.sec.android.app.shealth,32400000,be8610d6-5a79-f9d8-edf0-3d651ad69dd8.binning_data,100.000000,2020. 07. 11. 13:00:00,,10011,ITeeWLY/e8,,2020. 07. 11. 13:59:59,be8610d6-5a79-f9d8-edf0-3d651ad69dd8,2020. 07. 11. 14:06:25,43.000000,1,0.000000,
2020. 07. 11. 14:21:17,com.sec.android.app.shealth,32400000,a88728f0-d9cb-5a99-4f31-ce214ca31989.binning_data,98.000000,2020. 07. 11. 14:00:00,,10011,ITeeWLY/e8,,2020. 07. 11. 14:21:17,a88728f0-d9cb-5a99-4f31-ce214ca31989,2020. 07. 11. 14:21:17,43.000000,1,0.000000,
2020. 07. 13. 09:07:27,com.sec.android.app.shealth,32400000,fcae4af1-3aed-1594-5d5e-e6895c62144a.binning_data,21.000000,2020. 07. 13. 08:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 08:59:59,fcae4af1-3aed-1594-5d5e-e6895c62144a,2020. 07. 13. 09:07:27,16.000000,1,12.000000,
2020. 07. 13. 10:03:56,com.sec.android.app.shealth,32400000,08887f2e-9665-6746-7869-664ccdeed065.binning_data,100.000000,2020. 07. 13. 09:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 09:59:59,08887f2e-9665-6746-7869-664ccdeed065,2020. 07. 13. 10:03:56,29.000000,1,0.000000,
2020. 07. 13. 11:01:39,com.sec.android.app.shealth,32400000,6864531e-ec13-a10e-1dcc-da4e131a9a9b.binning_data,82.000000,2020. 07. 13. 10:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 10:59:59,6864531e-ec13-a10e-1dcc-da4e131a9a9b,2020. 07. 13. 11:01:39,7.000000,1,0.000000,
2020. 07. 13. 12:06:13,com.sec.android.app.shealth,32400000,5bf0a726-aeaa-8742-7a1c-d37f09d4dd3e.binning_data,96.000000,2020. 07. 13. 11:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 11:59:59,5bf0a726-aeaa-8742-7a1c-d37f09d4dd3e,2020. 07. 13. 12:06:13,3.000000,1,0.000000,
2020. 07. 13. 13:10:31,com.sec.android.app.shealth,32400000,c63df857-33c9-d56a-5c82-08dbe7685813.binning_data,99.000000,2020. 07. 13. 12:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 12:59:59,c63df857-33c9-d56a-5c82-08dbe7685813,2020. 07. 13. 13:10:31,26.000000,1,0.000000,
2020. 07. 13. 14:01:01,com.sec.android.app.shealth,32400000,44955e1e-b8da-2784-a326-a9d69a485fbe.binning_data,100.000000,2020. 07. 13. 13:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 13:59:59,44955e1e-b8da-2784-a326-a9d69a485fbe,2020. 07. 13. 14:01:01,45.000000,1,0.000000,
2020. 07. 13. 15:04:56,com.sec.android.app.shealth,32400000,654a2347-f799-25d0-306a-dad8ab870306.binning_data,99.000000,2020. 07. 13. 14:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 14:59:59,654a2347-f799-25d0-306a-dad8ab870306,2020. 07. 13. 15:04:56,48.000000,1,0.000000,
2020. 07. 13. 16:06:51,com.sec.android.app.shealth,32400000,f4237612-94e7-c894-ac28-41c4a4370404.binning_data,100.000000,2020. 07. 13. 15:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 15:59:59,f4237612-94e7-c894-ac28-41c4a4370404,2020. 07. 13. 16:06:51,33.000000,1,0.000000,
2020. 07. 13. 17:02:35,com.sec.android.app.shealth,32400000,306864b9-b612-8a9c-aaed-5855dd38bfbf.binning_data,99.000000,2020. 07. 13. 16:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 16:59:59,306864b9-b612-8a9c-aaed-5855dd38bfbf,2020. 07. 13. 17:02:35,16.000000,1,0.000000,
2020. 07. 13. 18:01:11,com.sec.android.app.shealth,32400000,08bd8fc8-60f3-cd10-3c14-bb9bf77f1e00.binning_data,100.000000,2020. 07. 13. 17:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 17:59:59,08bd8fc8-60f3-cd10-3c14-bb9bf77f1e00,2020. 07. 13. 18:01:11,21.000000,1,0.000000,
2020. 07. 13. 19:07:07,com.sec.android.app.shealth,32400000,6bdac7a3-1479-5594-b5b3-115e1fa6ba26.binning_data,100.000000,2020. 07. 13. 18:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 18:59:59,6bdac7a3-1479-5594-b5b3-115e1fa6ba26,2020. 07. 13. 19:07:07,23.000000,1,0.000000,
2020. 07. 13. 20:09:36,com.sec.android.app.shealth,32400000,00ba769b-a4a1-6e3a-e0b0-b42cdd502bb8.binning_data,100.000000,2020. 07. 13. 19:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 19:59:59,00ba769b-a4a1-6e3a-e0b0-b42cdd502bb8,2020. 07. 13. 20:09:36,16.000000,1,0.000000,
2020. 07. 14. 08:45:01,com.sec.android.app.shealth,32400000,d5004981-6ab6-000a-de75-f3f747763d22.binning_data,95.000000,2020. 07. 13. 20:00:00,,10011,ITeeWLY/e8,,2020. 07. 13. 20:59:59,d5004981-6ab6-000a-de75-f3f747763d22,2020. 07. 14. 08:45:01,29.000000,1,0.000000,
2020. 07. 14. 09:05:16,com.sec.android.app.shealth,32400000,8c43442f-cfa6-35af-40a4-12c054ed244e.binning_data,100.000000,2020. 07. 14. 08:00:00,,10011,ITeeWLY/e8,,2020. 07. 14. 08:59:59,8c43442f-cfa6-35af-40a4-12c054ed244e,2020. 07. 14. 09:05:16,52.000000,1,0.000000,
2020. 07. 14. 10:05:22,com.sec.android.app.shealth,32400000,3ea6e966-a6ae-da6c-6fb1-53475c5a43d5.binning_data,100.000000,2020. 07. 14. 09:00:00,,10011,ITeeWLY/e8,,2020. 07. 14. 09:59:59,3ea6e966-a6ae-da6c-6fb1-53475c5a43d5,2020. 07. 14. 10:05:22,27.000000,1,0.000000,
2020. 07. 14. 11:01:00,com.sec.android.app.shealth,32400000,0bfeb0f8-4f0e-bcf1-de20-39d74121b02c.binning_data,100.000000,2020. 07. 14. 10:00:00,,10011,ITeeWLY/e8,,2020. 07. 14. 10:59:59,0bfeb0f8-4f0e-bcf1-de20-39d74121b02c,2020. 07. 14. 11:01:00,11.000000,1,0.000000,
2020. 07. 14. 12:09:51,com.sec.android.app.shealth,32400000,c2d55179-5392-9585-27f7-b698a62721c7.binning_data,99.000000,2020. 07. 14. 11:00:00,,10011,ITeeWLY/e8,,2020. 07. 14. 11:59:59,c2d55179-5392-9585-27f7-b698a62721c7,2020. 07. 14. 12:09:51,7.000000,1,0.000000,
2020. 07. 14. 13:05:34,com.sec.android.app.shealth,32400000,fc75b50f-4cb6-1d89-0675-dffca6497dc1.binning_data,100.000000,2020. 07. 14. 12:00:00,,10011,ITeeWLY/e8,,2020. 07. 14. 12:59:59,fc75b50f-4cb6-1d89-0675-dffca6497dc1,2020. 07. 14. 13:05:34,13.000000,1,0.000000,
2020. 07. 14. 14:01:00,com.sec.android.app.shealth,32400000,e52a904f-f523-3129-2e21-0a53070c150b.binning_data,95.000000,2020. 07. 14. 13:00:00,,10011,ITeeWLY/e8,,2020. 07. 14. 13:59:59,e52a904f-f523-3129-2e21-0a53070c150b,2020. 07. 14. 14:01:00,4.000000,1,0.000000,
